"","BIN","Borough","House","Street.Name","Job.Type","Work.Type","Permit.Status","Filing.Date","Expiration.Date","Job.Start.Date","Lat","Long"
"1",1088749,"MANHATTAN","1","MADISON AVE","A3","EQ","ISSUED","05/10/2022","05/10/2023",2022-05-10,40.740909,-73.987947
"2",3039744,"BROOKLYN","91","RALPH AVENUE","A3","EQ","ISSUED","05/10/2022","05/10/2023",2021-05-06,40.686912,-73.923501
"3",3244226,"BROOKLYN","2236","EAST 63RD STREET","A1","PL","ISSUED","05/10/2022","05/10/2023",2021-05-06,40.61377,-73.910697
"4",3325917,"BROOKLYN","235","ADAMS STREET","A2","OT","ISSUED","05/10/2022","05/04/2023",2022-03-18,40.696502,-73.98873
"5",3337046,"BROOKLYN","2525","LINDEN BLVD","A2","PL","ISSUED","05/10/2022","05/10/2023",2022-05-10,40.667404,-73.870801
"6",3032216,"BROOKLYN","179","ROGERS AVENUE","A2","OT","ISSUED","05/10/2022","12/18/2022",2022-05-10,40.671238,-73.953144
"7",3131254,"BROOKLYN","5706","21 AVE","A2","OT","ISSUED","05/10/2022","05/17/2023",2021-10-29,40.619652,-73.979032
"8",5174885,"STATEN ISLAND","71","MEADOW AVENUE","NB","","ISSUED","05/10/2022","09/08/2022",2021-05-04,40.601585,-74.093892
"9",4618858,"QUEENS","43-16","166 ST","NB","","ISSUED","05/11/2022","04/29/2023",2021-05-28,40.758079,-73.800534
"10",3426347,"BROOKLYN","689","FRANKLIN AVE","NB","PL","ISSUED","05/11/2022","05/11/2023",2022-05-11,40.674915,-73.956422
"11",2010402,"BRONX","1323","CHISHOLM ST","DM","","ISSUED","06/17/2020","02/21/2021",2020-06-17,40.830992,-73.895698
"12",5032708,"STATEN ISLAND","136","ADA DRIVE","A2","OT","ISSUED","05/11/2022","10/01/2022",2022-05-11,40.620541,-74.15861
"13",3000370,"BROOKLYN","9","DEKALB AVENUE","A3","EQ","ISSUED","05/11/2022","05/11/2023",2020-06-03,40.689985,-73.98254
"14",3000370,"BROOKLYN","9","DEKALB AVENUE","A3","EQ","ISSUED","05/11/2022","05/11/2023",2020-06-03,40.689985,-73.98254
"15",3000370,"BROOKLYN","9","DEKALB  AVENUE","A3","EQ","ISSUED","05/11/2022","05/11/2023",2020-06-03,40.689985,-73.98254
"16",3338507,"BROOKLYN","1388","BUSHWICK AVENUE","A1","","ISSUED","05/11/2022","10/03/2022",2022-05-11,40.684868,-73.910025
"17",3338507,"BROOKLYN","1388","BUSHWICK AVENUE","A1","","ISSUED","05/11/2022","10/03/2022",2022-05-11,40.684868,-73.910025
"18",3327107,"BROOKLYN","2864","ATLANTIC AVENUE","DM","EQ","ISSUED","05/11/2022","05/17/2023",2022-05-17,40.676977,-73.888458
"19",4451550,"QUEENS","162-5","71ST AVE","A2","OT","ISSUED","05/11/2022","05/01/2023",2022-01-14,40.730433,-73.806956
"20",1811452,"MANHATTAN","20","RANDALLS ISLAND","A2","OT","ISSUED","05/11/2022","01/01/2023",2022-05-11,NA,NA
"21",3004546,"BROOKLYN","207","PRESIDENT STREET","A1","","ISSUED","05/10/2022","01/01/2023",2020-12-21,40.682482,-73.998861
"22",1022581,"MANHATTAN","1","TIMES SQUARE","A2","OT","ISSUED","05/10/2022","10/01/2022",2022-05-16,40.756628,-73.986287
"23",1013637,"MANHATTAN","341","WEST 38TH STREET","A1","PL","ISSUED","05/12/2022","05/12/2023",2022-05-12,40.755237,-73.992864
"24",1009430,"MANHATTAN","16","FIFTH AVENUE","NB","","ISSUED","03/18/2024","03/17/2025",2022-09-23,40.732624,-73.996092
